0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:52 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:53 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:53 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:36:53 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:24 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:25 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:36 -0800] "GET /angular-jaxrs-demo/js/angular.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:40 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:37:40 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/angular-ui-router.min.js HTTP/1.1" 200 30445
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/MyCtrl.js HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:03 -0800] "GET /angular-jaxrs-demo/js/angular.js HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:04 -0800] "GET /angular-jaxrs-demo/partials/about.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:26 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:38:26 -0800] "GET /angular-jaxrs-demo/webapi/ftocservice/undefined HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/ HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/css/bootstrap.min.css HTTP/1.1" 200 117154
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/css/push-menu.css HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/js/bootstrap.min.js HTTP/1.1" 200 35458
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/css/style.css HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/js/push-menu.js HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/js/angular.min.js HTTP/1.1" 200 148492
0:0:0:0:0:0:0:1 - - [11/Dec/2015:01:39:45 -0800] "GET /angular-jaxrs-demo/js/myApp.js HTTP/1.1" 200 2101
